"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.05954,0.05956,0.03027,0.06676,0.04167,0.04246,0.06549,0.19058,0.06301,0.2179,0.04416,0.02798,0.02812,0.0302,0.03229
"2",0.06666,0.04034,0.14412,0.06296,0.03671,0.11135,0.026,0.18145,0.06262,0.03298,0.11622,0.02798,0.02812,0.0302,0.03229
"3",0.03725,0.0335,0.11328,0.05765,0.043,0.2183,0.0526,0.05368,0.13249,0.09854,0.04112,0.02798,0.02812,0.0302,0.03229
"4",0.02836,0.08691,0.14659,0.03833,0.04802,0.03544,0.12598,0.07907,0.07905,0.06802,0.14565,0.02798,0.02812,0.0302,0.03229
"5",0.0525,0.09336,0.04698,0.16037,0.15231,0.03368,0.07697,0.02796,0.03249,0.14347,0.06132,0.02798,0.02812,0.0302,0.03229
"6",0.03464,0.05648,0.04684,0.03805,0.06312,0.10911,0.09795,0.10734,0.23759,0.03161,0.05868,0.02798,0.02812,0.0302,0.03229
"7",0.07079,0.03401,0.03771,0.03562,0.08396,0.11774,0.1642,0.03944,0.13009,0.11049,0.05736,0.02798,0.02812,0.0302,0.03229
"8",0.11382,0.05436,0.03778,0.12433,0.13925,0.04677,0.06706,0.06481,0.07882,0.09671,0.05769,0.02798,0.02812,0.0302,0.03229
"9",0.05639,0.02766,0.13543,0.08457,0.03944,0.02935,0.02671,0.14638,0.24534,0.04538,0.04476,0.02798,0.02812,0.0302,0.03229
"10",0.11044,0.06307,0.0403,0.08632,0.03417,0.17281,0.05351,0.06195,0.08282,0.13506,0.04095,0.02798,0.02812,0.0302,0.03229
"11",0.06889,0.04956,0.11506,0.05265,0.02638,0.02896,0.05417,0.15639,0.08418,0.19842,0.04674,0.02798,0.02812,0.0302,0.03229
"12",0.06387,0.07432,0.15496,0.04142,0.09201,0.03341,0.10068,0.11608,0.02819,0.04563,0.13085,0.02798,0.02812,0.0302,0.03229
"13",0.0264,0.08675,0.07266,0.16649,0.04995,0.06703,0.09361,0.0858,0.03323,0.09081,0.10868,0.02798,0.02812,0.0302,0.03229
"14",0.08523,0.0619,0.11191,0.1154,0.03324,0.07914,0.03657,0.08353,0.13087,0.10276,0.04087,0.02798,0.02812,0.0302,0.03229
"15",0.02806,0.06685,0.06072,0.03296,0.14029,0.04605,0.04705,0.09071,0.2417,0.03117,0.09584,0.02798,0.02812,0.0302,0.03229
"16",0.12348,0.04992,0.13738,0.02655,0.02965,0.04098,0.02957,0.02703,0.19048,0.10663,0.11973,0.02798,0.02812,0.0302,0.03229
"17",0.03946,0.04328,0.0461,0.13448,0.07162,0.04798,0.13199,0.07586,0.04963,0.12613,0.11488,0.02798,0.02812,0.0302,0.03229
"18",0.10549,0.05521,0.04356,0.14958,0.14606,0.10308,0.04528,0.06229,0.03489,0.09239,0.04356,0.02798,0.02812,0.0302,0.03229
"19",0.04793,0.08562,0.03812,0.14608,0.10715,0.05284,0.07959,0.05669,0.07892,0.15217,0.03631,0.02798,0.02812,0.0302,0.03229
"20",0.12715,0.04395,0.02817,0.02541,0.08772,0.07363,0.06709,0.08564,0.10187,0.13007,0.11072,0.02798,0.02812,0.0302,0.03229
"21",0.09642,0.03452,0.03398,0.12267,0.05656,0.1089,0.14146,0.03139,0.05813,0.05472,0.14266,0.02798,0.02812,0.0302,0.03229
"22",0.02735,0.03851,0.14014,0.06157,0.19099,0.07228,0.03426,0.05414,0.05065,0.12194,0.08956,0.02798,0.02812,0.0302,0.03229
"23",0.10362,0.02576,0.0564,0.04072,0.09742,0.06074,0.06953,0.12002,0.09312,0.07667,0.1374,0.02798,0.02812,0.0302,0.03229
"24",0.08889,0.10387,0.03764,0.06662,0.08895,0.03482,0.03128,0.04645,0.15034,0.16941,0.06315,0.02798,0.02812,0.0302,0.03229
"25",0.09455,0.04658,0.03931,0.18239,0.03185,0.15007,0.07681,0.10567,0.02694,0.08056,0.04669,0.02798,0.02812,0.0302,0.03229
"26",0.09169,0.05726,0.1054,0.03144,0.15859,0.07676,0.10589,0.03828,0.04976,0.09593,0.0704,0.02798,0.02812,0.0302,0.03229
"27",0.03798,0.0406,0.05146,0.0595,0.04452,0.06248,0.09286,0.16593,0.09575,0.03477,0.19557,0.02798,0.02812,0.0302,0.03229
"28",0.04849,0.05511,0.05193,0.03974,0.02823,0.05782,0.10042,0.29615,0.05542,0.04522,0.10287,0.02798,0.02812,0.0302,0.03229
"29",0.08778,0.03878,0.08349,0.08246,0.02951,0.14665,0.08751,0.04852,0.19656,0.02847,0.05167,0.02798,0.02812,0.0302,0.03229
"30",0.11922,0.04144,0.1401,0.03519,0.04516,0.08402,0.09364,0.04446,0.14771,0.09598,0.03447,0.02798,0.02812,0.0302,0.03229
"31",0.04854,0.05055,0.02713,0.15093,0.06338,0.12527,0.03419,0.08569,0.06712,0.19236,0.03624,0.02798,0.02812,0.0302,0.03229
"32",0.06561,0.10579,0.05041,0.05788,0.10669,0.09588,0.07419,0.10204,0.03409,0.09215,0.09667,0.02798,0.02812,0.0302,0.03229
"33",0.05905,0.05455,0.04071,0.06494,0.058,0.05963,0.0888,0.0376,0.09753,0.16801,0.1526,0.02798,0.02812,0.0302,0.03229
"34",0.05637,0.05862,0.13624,0.0535,0.12168,0.0369,0.05817,0.11376,0.02967,0.10119,0.11533,0.02798,0.02812,0.0302,0.03229
"35",0.08904,0.08448,0.12613,0.06618,0.09018,0.06383,0.08616,0.08369,0.07857,0.0286,0.08455,0.02798,0.02812,0.0302,0.03229
"36",0.0446,0.04563,0.128,0.07615,0.02889,0.14184,0.13538,0.0887,0.02943,0.05349,0.10928,0.02798,0.02812,0.0302,0.03229
"37",0.0844,0.09689,0.05187,0.07637,0.19678,0.0313,0.03371,0.16783,0.06535,0.03841,0.03849,0.02798,0.02812,0.0302,0.03229
"38",0.06021,0.05552,0.13861,0.04524,0.08244,0.04781,0.03818,0.03496,0.04668,0.20947,0.12226,0.02798,0.02812,0.0302,0.03229
"39",0.06232,0.08459,0.0604,0.12079,0.19815,0.02998,0.03706,0.09014,0.03262,0.03633,0.12904,0.02798,0.02812,0.0302,0.03229
"40",0.03047,0.03232,0.06136,0.0843,0.10557,0.04059,0.04315,0.10252,0.06688,0.04574,0.26851,0.02798,0.02812,0.0302,0.03229
"41",0.12667,0.02621,0.17246,0.02641,0.08349,0.06855,0.02548,0.04424,0.17098,0.10336,0.03354,0.02798,0.02812,0.0302,0.03229
"42",0.06507,0.08819,0.06837,0.08327,0.22871,0.10233,0.02815,0.05036,0.06194,0.06291,0.0421,0.02798,0.02812,0.0302,0.03229
"43",0.02621,0.08746,0.16076,0.05381,0.12317,0.09988,0.06007,0.0981,0.03168,0.11077,0.02951,0.02798,0.02812,0.0302,0.03229
"44",0.11333,0.05702,0.08551,0.02606,0.19585,0.02735,0.17973,0.04181,0.03225,0.07468,0.0478,0.02798,0.02812,0.0302,0.03229
"45",0.03188,0.06361,0.06354,0.06529,0.04135,0.06594,0.1893,0.22036,0.04819,0.05594,0.036,0.02798,0.02812,0.0302,0.03229
"46",0.0603,0.09029,0.04386,0.07908,0.1363,0.04961,0.03933,0.05517,0.17982,0.04594,0.10172,0.02798,0.02812,0.0302,0.03229
"47",0.08488,0.08232,0.10264,0.03708,0.05581,0.04269,0.04291,0.14103,0.14585,0.04277,0.10342,0.02798,0.02812,0.0302,0.03229
"48",0.07954,0.05218,0.07539,0.1482,0.02783,0.16051,0.03066,0.12198,0.04916,0.06158,0.07439,0.02798,0.02812,0.0302,0.03229
"49",0.07799,0.04185,0.14532,0.11879,0.04096,0.09652,0.085,0.03573,0.04153,0.14984,0.04786,0.02798,0.02812,0.0302,0.03229
"50",0.08806,0.0588,0.0313,0.06385,0.12538,0.08437,0.1631,0.07179,0.1276,0.03818,0.02895,0.02798,0.02812,0.0302,0.03229
"51",0.06887,0.05161,0.06243,0.07851,0.04875,0.04412,0.04803,0.04231,0.06751,0.27324,0.09602,0.02798,0.02812,0.0302,0.03229
"52",0.02722,0.14341,0.03013,0.04588,0.03732,0.03885,0.05284,0.10358,0.13551,0.02988,0.2368,0.02798,0.02812,0.0302,0.03229
