"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.03174,0.05006,0.06058,0.08799,0.0333,0.0894,0.0833,0.0617,0.07407,0.1105,0.22744,0.0197,0.02298,0.02314,0.02409
"2",0.03164,0.01805,0.03877,0.04876,0.12742,0.11031,0.17329,0.02837,0.03278,0.17579,0.12489,0.0197,0.02298,0.02314,0.02409
"3",0.0377,0.0492,0.07356,0.0398,0.03003,0.06651,0.24521,0.10579,0.18949,0.05149,0.0213,0.0197,0.02298,0.02314,0.02409
"4",0.05153,0.0222,0.03435,0.11217,0.09485,0.02061,0.03293,0.23209,0.25449,0.03659,0.01826,0.0197,0.02298,0.02314,0.02409
"5",0.02405,0.03806,0.06943,0.04273,0.06088,0.07639,0.17574,0.05458,0.07358,0.26481,0.02985,0.0197,0.02298,0.02314,0.02409
"6",0.03145,0.04505,0.0445,0.15219,0.07929,0.07457,0.02192,0.13016,0.19628,0.06457,0.07011,0.0197,0.02298,0.02314,0.02409
"7",0.04849,0.01966,0.0686,0.07321,0.09786,0.16097,0.03086,0.03169,0.23389,0.07315,0.07169,0.0197,0.02298,0.02314,0.02409
"8",0.04791,0.0211,0.07957,0.09424,0.12417,0.10809,0.18776,0.06865,0.01902,0.08451,0.07505,0.0197,0.02298,0.02314,0.02409
"9",0.03037,0.04072,0.07049,0.05452,0.18795,0.05822,0.0736,0.1812,0.03651,0.08159,0.09492,0.0197,0.02298,0.02314,0.02409
"10",0.02133,0.03373,0.05758,0.03496,0.0505,0.05555,0.09372,0.17516,0.23006,0.12642,0.03107,0.0197,0.02298,0.02314,0.02409
"11",0.04554,0.04917,0.01705,0.11554,0.02463,0.05272,0.10518,0.06391,0.11529,0.08174,0.23932,0.0197,0.02298,0.02314,0.02409
"12",0.01917,0.0555,0.02182,0.05568,0.04128,0.18021,0.05436,0.33279,0.06318,0.05734,0.02876,0.0197,0.02298,0.02314,0.02409
"13",0.02638,0.04477,0.03643,0.09648,0.08654,0.02539,0.17019,0.19225,0.15992,0.02737,0.04435,0.0197,0.02298,0.02314,0.02409
"14",0.02792,0.05367,0.07964,0.04348,0.1105,0.03233,0.09089,0.10182,0.0767,0.25943,0.03371,0.0197,0.02298,0.02314,0.02409
"15",0.04178,0.03499,0.03553,0.04103,0.06426,0.19078,0.11577,0.11949,0.12692,0.1162,0.02333,0.0197,0.02298,0.02314,0.02409
"16",0.02538,0.03317,0.04939,0.14528,0.16455,0.033,0.05874,0.06185,0.15228,0.02543,0.16101,0.0197,0.02298,0.02314,0.02409
"17",0.03941,0.02175,0.02684,0.08425,0.0218,0.17915,0.16836,0.03251,0.27405,0.03367,0.02829,0.0197,0.02298,0.02314,0.02409
"18",0.04352,0.03383,0.02473,0.13583,0.09482,0.11614,0.01848,0.23694,0.08367,0.0977,0.02441,0.0197,0.02298,0.02314,0.02409
"19",0.03241,0.02657,0.04787,0.08434,0.1513,0.05712,0.15809,0.12011,0.07041,0.0188,0.14307,0.0197,0.02298,0.02314,0.02409
"20",0.02731,0.02961,0.02173,0.07397,0.1297,0.02456,0.09233,0.06594,0.04574,0.37436,0.02483,0.0197,0.02298,0.02314,0.02409
"21",0.04254,0.03118,0.06,0.04078,0.06225,0.05151,0.02656,0.13734,0.16849,0.22583,0.0636,0.0197,0.02298,0.02314,0.02409
"22",0.03301,0.05118,0.04833,0.07371,0.08764,0.01914,0.0193,0.11403,0.11843,0.24079,0.10452,0.0197,0.02298,0.02314,0.02409
"23",0.04387,0.02245,0.06384,0.04672,0.02755,0.04895,0.02083,0.20594,0.10892,0.20616,0.11486,0.0197,0.02298,0.02314,0.02409
"24",0.02239,0.01844,0.07283,0.08576,0.0499,0.08315,0.19163,0.22479,0.03703,0.07372,0.05044,0.0197,0.02298,0.02314,0.02409
"25",0.03121,0.03802,0.06445,0.06715,0.0578,0.08858,0.06357,0.0718,0.07218,0.20544,0.14988,0.0197,0.02298,0.02314,0.02409
"26",0.02175,0.03019,0.02817,0.02054,0.0655,0.16859,0.10534,0.05424,0.09809,0.24289,0.0748,0.0197,0.02298,0.02314,0.02409
"27",0.03131,0.01699,0.03961,0.06137,0.10836,0.03939,0.0832,0.03471,0.10071,0.2908,0.10363,0.0197,0.02298,0.02314,0.02409
"28",0.03906,0.03058,0.0416,0.06413,0.06234,0.05674,0.1002,0.15418,0.22435,0.11941,0.0175,0.0197,0.02298,0.02314,0.02409
"29",0.05472,0.05516,0.03165,0.02045,0.04719,0.10141,0.18533,0.04262,0.0916,0.14187,0.13808,0.0197,0.02298,0.02314,0.02409
"30",0.03927,0.04193,0.02004,0.07784,0.10066,0.08309,0.13258,0.12551,0.18394,0.03045,0.07477,0.0197,0.02298,0.02314,0.02409
"31",0.04445,0.0531,0.04751,0.08918,0.03668,0.11904,0.24315,0.08509,0.01756,0.08654,0.08779,0.0197,0.02298,0.02314,0.02409
"32",0.01683,0.0526,0.06867,0.17421,0.03152,0.19845,0.0743,0.02402,0.02972,0.0481,0.19166,0.0197,0.02298,0.02314,0.02409
"33",0.04164,0.03981,0.04558,0.08456,0.01865,0.02381,0.23232,0.1848,0.04204,0.05865,0.13823,0.0197,0.02298,0.02314,0.02409
"34",0.03987,0.0423,0.01835,0.05963,0.04369,0.06428,0.11521,0.02116,0.05257,0.06584,0.38719,0.0197,0.02298,0.02314,0.02409
"35",0.01882,0.0211,0.05032,0.02969,0.07574,0.06369,0.10531,0.07688,0.0709,0.23928,0.15836,0.0197,0.02298,0.02314,0.02409
"36",0.04352,0.03742,0.03602,0.02032,0.11659,0.16471,0.17179,0.01675,0.02079,0.17023,0.11196,0.0197,0.02298,0.02314,0.02409
"37",0.02589,0.01719,0.02124,0.08697,0.05782,0.15572,0.23083,0.07379,0.10555,0.05836,0.07672,0.0197,0.02298,0.02314,0.02409
"38",0.0199,0.02952,0.07101,0.13656,0.04205,0.04788,0.10675,0.04083,0.1409,0.13652,0.13818,0.0197,0.02298,0.02314,0.02409
"39",0.04738,0.02452,0.06799,0.0577,0.10834,0.08886,0.22013,0.06562,0.11145,0.01933,0.09877,0.0197,0.02298,0.02314,0.02409
"40",0.05399,0.01715,0.04907,0.03218,0.08656,0.03195,0.11795,0.1594,0.0209,0.29867,0.04227,0.0197,0.02298,0.02314,0.02409
"41",0.04458,0.04886,0.03968,0.14452,0.03247,0.09059,0.0201,0.02123,0.0517,0.3589,0.05744,0.0197,0.02298,0.02314,0.02409
"42",0.03786,0.03948,0.03793,0.0895,0.04481,0.02802,0.03999,0.0758,0.03815,0.40348,0.07506,0.0197,0.02298,0.02314,0.02409
"43",0.04971,0.04277,0.02469,0.07342,0.05645,0.07317,0.08227,0.23181,0.0613,0.10025,0.11424,0.0197,0.02298,0.02314,0.02409
"44",0.05511,0.03624,0.01669,0.07583,0.06919,0.12106,0.02943,0.05295,0.34528,0.08196,0.02634,0.0197,0.02298,0.02314,0.02409
"45",0.03144,0.0176,0.04985,0.1554,0.05403,0.14345,0.03503,0.05073,0.05666,0.18627,0.12963,0.0197,0.02298,0.02314,0.02409
"46",0.05345,0.04358,0.0689,0.03362,0.16556,0.04964,0.17121,0.19121,0.08757,0.01888,0.02648,0.0197,0.02298,0.02314,0.02409
"47",0.05204,0.0319,0.04013,0.09847,0.1032,0.03677,0.19695,0.04205,0.10743,0.16081,0.04033,0.0197,0.02298,0.02314,0.02409
"48",0.01896,0.03126,0.07179,0.02107,0.09821,0.15995,0.0913,0.22444,0.02797,0.12515,0.03999,0.0197,0.02298,0.02314,0.02409
"49",0.03842,0.03112,0.01755,0.02686,0.05228,0.13245,0.12677,0.04959,0.02348,0.07402,0.33755,0.0197,0.02298,0.02314,0.02409
"50",0.0421,0.02882,0.03456,0.15552,0.06403,0.08361,0.03924,0.08982,0.14086,0.1894,0.04212,0.0197,0.02298,0.02314,0.02409
"51",0.0447,0.02648,0.02195,0.03358,0.01696,0.11497,0.10535,0.03817,0.23738,0.09581,0.17474,0.0197,0.02298,0.02314,0.02409
"52",0.03821,0.01999,0.02549,0.04353,0.06772,0.02228,0.15972,0.06441,0.16718,0.13338,0.16818,0.0197,0.02298,0.02314,0.02409
"53",0.03284,0.03023,0.07463,0.05817,0.11367,0.03034,0.08976,0.06435,0.07102,0.29672,0.04837,0.0197,0.02298,0.02314,0.02409
"54",0.04952,0.03064,0.02252,0.14966,0.04733,0.16233,0.07198,0.02502,0.05467,0.03139,0.26502,0.0197,0.02298,0.02314,0.02409
"55",0.03286,0.04938,0.06393,0.05027,0.09663,0.20759,0.03154,0.06235,0.16866,0.07192,0.07495,0.0197,0.02298,0.02314,0.02409
"56",0.018,0.05369,0.0508,0.07187,0.1346,0.01924,0.05574,0.1087,0.04873,0.07519,0.27352,0.0197,0.02298,0.02314,0.02409
"57",0.03291,0.05432,0.05203,0.05437,0.04134,0.02008,0.01878,0.09621,0.3649,0.07859,0.09655,0.0197,0.02298,0.02314,0.02409
